"QB.Name","RB1.Name","RB2.Name","WR1.Name","WR2.Name","WR3.Name","TE.Name","K.Name","D.Name","Salary","PredictedPoints"
"Ben Roethlisberger, PIT, , 8400","LeSean McCoy, BUF, , 6700","Shane Vereen, NYG, , 5200","Antonio Brown, PIT, , 9500","Dez Bryant, DAL, , 7900","Jarvis Landry, MIA, , 7000","Travis Kelce, KC, , 6000","Chris Boswell, PIT, , 4600","CIN, CIN, , 4500","59800","196.350141870058"
"Ben Roethlisberger, PIT, , 8400","LeSean McCoy, BUF, , 6700","Shane Vereen, NYG, , 5200","Antonio Brown, PIT, , 9500","Dez Bryant, DAL, , 7900","Demaryius Thomas, DEN, , 7200","Travis Kelce, KC, , 6000","Chris Boswell, PIT, , 4600","CIN, CIN, , 4500","60000","196.068110285181"
"Ben Roethlisberger, PIT, , 8400","LeSean McCoy, BUF, , 6700","Shane Vereen, NYG, , 5200","Antonio Brown, PIT, , 9500","Dez Bryant, DAL, , 7900","Jarvis Landry, MIA, , 7000","Travis Kelce, KC, , 6000","Chris Boswell, PIT, , 4600","MIA, MIA, , 4600","59900","195.251131381584"
"Ben Roethlisberger, PIT, , 8400","LeSean McCoy, BUF, , 6700","Shane Vereen, NYG, , 5200","Antonio Brown, PIT, , 9500","Dez Bryant, DAL, , 7900","Jarvis Landry, MIA, , 7000","Travis Kelce, KC, , 6000","Nick Folk, NYJ, , 4500","CIN, CIN, , 4500","59700","195.202641870058"
"Ben Roethlisberger, PIT, , 8400","LeSean McCoy, BUF, , 6700","Shane Vereen, NYG, , 5200","Antonio Brown, PIT, , 9500","Dez Bryant, DAL, , 7900","Demaryius Thomas, DEN, , 7200","Travis Kelce, KC, , 6000","Nick Folk, NYJ, , 4500","CIN, CIN, , 4500","59900","194.920610285181"
"Ben Roethlisberger, PIT, , 8400","LeSean McCoy, BUF, , 6700","Shane Vereen, NYG, , 5200","Antonio Brown, PIT, , 9500","Dez Bryant, DAL, , 7900","Jarvis Landry, MIA, , 7000","Travis Kelce, KC, , 6000","Nick Folk, NYJ, , 4500","GB, GB, , 4400","59600","194.032795119058"
"Ben Roethlisberger, PIT, , 8400","LeSean McCoy, BUF, , 6700","Shane Vereen, NYG, , 5200","Antonio Brown, PIT, , 9500","Dez Bryant, DAL, , 7900","Jarvis Landry, MIA, , 7000","Travis Kelce, KC, , 6000","Nick Folk, NYJ, , 4500","DEN, DEN, , 4800","60000","193.922922877113"
"Ben Roethlisberger, PIT, , 8400","LeSean McCoy, BUF, , 6700","Shane Vereen, NYG, , 5200","Antonio Brown, PIT, , 9500","Dez Bryant, DAL, , 7900","Demaryius Thomas, DEN, , 7200","Travis Kelce, KC, , 6000","Nick Folk, NYJ, , 4500","GB, GB, , 4400","59800","193.750763534181"
"Ben Roethlisberger, PIT, , 8400","LeSean McCoy, BUF, , 6700","Shane Vereen, NYG, , 5200","Antonio Brown, PIT, , 9500","Dez Bryant, DAL, , 7900","Eric Decker, NYJ, Q, 7300","Travis Kelce, KC, , 6000","Nick Folk, NYJ, , 4500","CIN, CIN, , 4500","60000","193.018110285181"
"Ben Roethlisberger, PIT, , 8400","Giovani Bernard, CIN, , 5700","LeSean McCoy, BUF, , 6700","Antonio Brown, PIT, , 9500","Dez Bryant, DAL, , 7900","Michael Crabtree, OAK, , 6400","Travis Kelce, KC, , 6000","Chris Boswell, PIT, , 4600","CIN, CIN, , 4500","59700","192.81325143941"
