QB.Name,RB1.Name,RB2.Name,WR1.Name,WR2.Name,WR3.Name,TE.Name,K.Name,D.Name,Salary,PredictedPoints
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Mark Ingram, NO, , 6800","Antonio Brown, PIT, , 9400","Cole Beasley, DAL, , 5200","Breshad Perriman, BAL, , 5000","Greg Olsen, CAR, , 7900","Josh Lambo, SD, , 4500","NE, NE, , 4500",60000,169.1622054
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Mark Ingram, NO, , 6800","Antonio Brown, PIT, , 9400","Cole Beasley, DAL, , 5200","Breshad Perriman, BAL, , 5000","Greg Olsen, CAR, , 7900","Josh Lambo, SD, , 4500","NYJ, NYJ, , 4400",59900,168.8990733
"Carson Palmer, ARI, , 8000","Le'Veon Bell, PIT, , 8300","Mark Ingram, NO, , 6800","Antonio Brown, PIT, , 9400","John Brown, ARI, , 6200","Cameron Meredith, CHI, , 4500","Greg Olsen, CAR, , 7900","Josh Lambo, SD, , 4500","NYJ, NYJ, , 4400",60000,168.0203893
"Ben Roethlisberger, PIT, , 8400","Chris Thompson, WAS, , 5200","Le'Veon Bell, PIT, , 8300","Antonio Brown, PIT, , 9400","Emmanuel Sanders, DEN, , 6900","Breshad Perriman, BAL, , 5000","Greg Olsen, CAR, , 7900","Josh Lambo, SD, , 4500","NYJ, NYJ, , 4400",60000,167.888936
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Mark Ingram, NO, , 6800","Antonio Brown, PIT, , 9400","Julio Jones, ATL, Q, 8500","Breshad Perriman, BAL, , 5000","Hunter Henry, SD, , 4500","Josh Lambo, SD, , 4500","NE, NE, , 4500",59900,167.4874989
"Ben Roethlisberger, PIT, , 8400","Chris Thompson, WAS, , 5200","Le'Veon Bell, PIT, , 8300","Antonio Brown, PIT, , 9400","DeAndre Hopkins, HOU, , 8600","Michael Crabtree, OAK, , 6500","Hunter Henry, SD, , 4500","Josh Lambo, SD, , 4500","NE, NE, , 4500",59900,167.2457598
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Mark Ingram, NO, , 6800","Antonio Brown, PIT, , 9400","Julio Jones, ATL, Q, 8500","Breshad Perriman, BAL, , 5000","Hunter Henry, SD, , 4500","Josh Lambo, SD, , 4500","NYJ, NYJ, , 4400",59800,167.2243668
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Mark Ingram, NO, , 6800","Antonio Brown, PIT, , 9400","DeAndre Hopkins, HOU, , 8600","Cole Beasley, DAL, , 5200","Hunter Henry, SD, , 4500","Josh Lambo, SD, , 4500","TB, TB, , 4200",59900,167.1831303
"Ben Roethlisberger, PIT, , 8400","Chris Thompson, WAS, , 5200","Le'Veon Bell, PIT, , 8300","Antonio Brown, PIT, , 9400","Michael Crabtree, OAK, , 6500","Breshad Perriman, BAL, , 5000","Greg Olsen, CAR, , 7900","Chris Boswell, PIT, , 4800","NE, NE, , 4500",60000,167.0774288
"Ben Roethlisberger, PIT, , 8400","Chris Thompson, WAS, , 5200","Le'Veon Bell, PIT, , 8300","Antonio Brown, PIT, , 9400","DeAndre Hopkins, HOU, , 8600","Michael Crabtree, OAK, , 6500","Hunter Henry, SD, , 4500","Josh Lambo, SD, , 4500","NYJ, NYJ, , 4400",59800,166.9826277
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Mark Ingram, NO, , 6800","Antonio Brown, PIT, , 9400","Cole Beasley, DAL, , 5200","Cameron Meredith, CHI, , 4500","Greg Olsen, CAR, , 7900","Josh Lambo, SD, , 4500","SEA, SEA, , 5000",60000,166.8531915
"Ben Roethlisberger, PIT, , 8400","Chris Thompson, WAS, , 5200","Le'Veon Bell, PIT, , 8300","Antonio Brown, PIT, , 9400","Michael Crabtree, OAK, , 6500","Breshad Perriman, BAL, , 5000","Greg Olsen, CAR, , 7900","Chris Boswell, PIT, , 4800","NYJ, NYJ, , 4400",59900,166.8142967
"Ben Roethlisberger, PIT, , 8400","Chris Thompson, WAS, , 5200","Le'Veon Bell, PIT, , 8300","Antonio Brown, PIT, , 9400","Michael Crabtree, OAK, , 6500","Breshad Perriman, BAL, , 5000","Greg Olsen, CAR, , 7900","Josh Lambo, SD, , 4500","NE, NE, , 4500",59700,166.7925681
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Mark Ingram, NO, , 6800","Antonio Brown, PIT, , 9400","Cole Beasley, DAL, , 5200","Breshad Perriman, BAL, , 5000","Greg Olsen, CAR, , 7900","Josh Lambo, SD, , 4500","TB, TB, , 4200",59700,166.7299386
"Ben Roethlisberger, PIT, , 8400","Dexter McCluster, SD, , 4500","Le'Veon Bell, PIT, , 8300","Antonio Brown, PIT, , 9400","DeAndre Hopkins, HOU, , 8600","Michael Crabtree, OAK, , 6500","Hunter Henry, SD, , 4500","Josh Lambo, SD, , 4500","ARI, ARI, , 5300",60000,166.600907
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Todd Gurley, LA, , 7700","Antonio Brown, PIT, , 9400","Emmanuel Sanders, DEN, , 6900","Breshad Perriman, BAL, , 5000","Hunter Henry, SD, , 4500","Josh Lambo, SD, , 4500","ARI, ARI, , 5300",60000,166.5478494
"Ben Roethlisberger, PIT, , 8400","Chris Thompson, WAS, , 5200","Le'Veon Bell, PIT, , 8300","Antonio Brown, PIT, , 9400","Michael Crabtree, OAK, , 6500","Breshad Perriman, BAL, , 5000","Greg Olsen, CAR, , 7900","Josh Lambo, SD, , 4500","NYJ, NYJ, , 4400",59600,166.529436
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Mark Ingram, NO, , 6800","Antonio Brown, PIT, , 9400","Terrance Williams, DAL, , 4600","Breshad Perriman, BAL, , 5000","Greg Olsen, CAR, , 7900","Josh Lambo, SD, , 4500","SEA, SEA, , 5000",59900,166.3906192
"Ben Roethlisberger, PIT, , 8400","Chris Thompson, WAS, , 5200","Le'Veon Bell, PIT, , 8300","Antonio Brown, PIT, , 9400","Michael Crabtree, OAK, , 6500","Cameron Meredith, CHI, , 4500","Greg Olsen, CAR, , 7900","Josh Lambo, SD, , 4500","ARI, ARI, , 5300",60000,166.3674301
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Mark Ingram, NO, , 6800","Antonio Brown, PIT, , 9400","Adam Humphries, TB, , 5000","Breshad Perriman, BAL, , 5000","Greg Olsen, CAR, , 7900","Chris Boswell, PIT, , 4800","NYJ, NYJ, , 4400",60000,166.3298813
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Matt Forte, NYJ, Q, 6900","Antonio Brown, PIT, , 9400","Julio Jones, ATL, Q, 8500","Breshad Perriman, BAL, , 5000","Hunter Henry, SD, , 4500","Josh Lambo, SD, , 4500","NE, NE, , 4500",60000,166.3268449
"Ben Roethlisberger, PIT, , 8400","Terrance West, BAL, , 4900","Le'Veon Bell, PIT, , 8300","Antonio Brown, PIT, , 9400","DeAndre Hopkins, HOU, , 8600","Emmanuel Sanders, DEN, , 6900","Hunter Henry, SD, , 4500","Josh Lambo, SD, , 4500","NE, NE, , 4500",60000,166.3223967
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Mark Ingram, NO, , 6800","Antonio Brown, PIT, , 9400","Adam Humphries, TB, , 5000","Breshad Perriman, BAL, , 5000","Greg Olsen, CAR, , 7900","Josh Lambo, SD, , 4500","NE, NE, , 4500",59800,166.3081528
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Mark Ingram, NO, , 6800","Antonio Brown, PIT, , 9400","Emmanuel Sanders, DEN, , 6900","Breshad Perriman, BAL, , 5000","Coby Fleener, NO, , 5400","Josh Lambo, SD, , 4500","ARI, ARI, , 5300",60000,166.2923284
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Theo Riddick, DET, , 6600","Antonio Brown, PIT, , 9400","DeAndre Hopkins, HOU, , 8600","Cole Beasley, DAL, , 5200","Hunter Henry, SD, , 4500","Josh Lambo, SD, , 4500","NE, NE, , 4500",60000,166.2558256
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Lamar Miller, HOU, , 8200","Antonio Brown, PIT, , 9400","Emmanuel Sanders, DEN, , 6900","Breshad Perriman, BAL, , 5000","Hunter Henry, SD, , 4500","Chris Boswell, PIT, , 4800","NYJ, NYJ, , 4400",59900,166.2013075
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Lamar Miller, HOU, , 8200","Antonio Brown, PIT, , 9400","Emmanuel Sanders, DEN, , 6900","Breshad Perriman, BAL, , 5000","Hunter Henry, SD, , 4500","Josh Lambo, SD, , 4500","NE, NE, , 4500",59700,166.1795789
"Ben Roethlisberger, PIT, , 8400","Dexter McCluster, SD, , 4500","Le'Veon Bell, PIT, , 8300","Antonio Brown, PIT, , 9400","Michael Crabtree, OAK, , 6500","Breshad Perriman, BAL, , 5000","Greg Olsen, CAR, , 7900","Josh Lambo, SD, , 4500","ARI, ARI, , 5300",59800,166.1477153
"Ben Roethlisberger, PIT, , 8400","Terrance West, BAL, , 4900","Le'Veon Bell, PIT, , 8300","Antonio Brown, PIT, , 9400","DeAndre Hopkins, HOU, , 8600","Emmanuel Sanders, DEN, , 6900","Hunter Henry, SD, , 4500","Josh Lambo, SD, , 4500","NYJ, NYJ, , 4400",59900,166.0592646
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Mark Ingram, NO, , 6800","Antonio Brown, PIT, , 9400","Adam Humphries, TB, , 5000","Breshad Perriman, BAL, , 5000","Greg Olsen, CAR, , 7900","Josh Lambo, SD, , 4500","NYJ, NYJ, , 4400",59700,166.0450207
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Mark Ingram, NO, , 6800","Antonio Brown, PIT, , 9400","Cole Beasley, DAL, , 5200","Cameron Meredith, CHI, , 4500","Greg Olsen, CAR, , 7900","Chris Boswell, PIT, , 4800","NE, NE, , 4500",59800,166.0361383
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Mark Ingram, NO, , 6800","Antonio Brown, PIT, , 9400","DeAndre Hopkins, HOU, , 8600","Terrance Williams, DAL, , 4600","Hunter Henry, SD, , 4500","Chris Boswell, PIT, , 4800","NE, NE, , 4500",59900,166.0267578
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Mark Ingram, NO, , 6800","Antonio Brown, PIT, , 9400","Emmanuel Sanders, DEN, , 6900","Breshad Perriman, BAL, , 5000","Hunter Henry, SD, , 4500","Chris Boswell, PIT, , 4800","ARI, ARI, , 5300",59400,166.023853
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Lamar Miller, HOU, , 8200","Antonio Brown, PIT, , 9400","Michael Crabtree, OAK, , 6500","Breshad Perriman, BAL, , 5000","Hunter Henry, SD, , 4500","Josh Lambo, SD, , 4500","DEN, DEN, , 5200",60000,166.0215381
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Lamar Miller, HOU, , 8200","Antonio Brown, PIT, , 9400","Michael Crabtree, OAK, , 6500","Breshad Perriman, BAL, , 5000","Hunter Henry, SD, , 4500","Josh Lambo, SD, , 4500","SEA, SEA, , 5000",59800,165.9219927
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Lamar Miller, HOU, , 8200","Antonio Brown, PIT, , 9400","Emmanuel Sanders, DEN, , 6900","Breshad Perriman, BAL, , 5000","Hunter Henry, SD, , 4500","Josh Lambo, SD, , 4500","NYJ, NYJ, , 4400",59600,165.9164468
"Ben Roethlisberger, PIT, , 8400","Terrance West, BAL, , 4900","Le'Veon Bell, PIT, , 8300","Antonio Brown, PIT, , 9400","Emmanuel Sanders, DEN, , 6900","Breshad Perriman, BAL, , 5000","Greg Olsen, CAR, , 7900","Josh Lambo, SD, , 4500","NE, NE, , 4500",59800,165.869205
"Ben Roethlisberger, PIT, , 8400","Chris Thompson, WAS, , 5200","Le'Veon Bell, PIT, , 8300","Antonio Brown, PIT, , 9400","Travis Benjamin, SD, , 6600","Breshad Perriman, BAL, , 5000","Greg Olsen, CAR, , 7900","Chris Boswell, PIT, , 4800","NYJ, NYJ, , 4400",60000,165.8535065
"Carson Palmer, ARI, , 8000","Le'Veon Bell, PIT, , 8300","Mark Ingram, NO, , 6800","Antonio Brown, PIT, , 9400","John Brown, ARI, , 6200","Cameron Meredith, CHI, , 4500","Greg Olsen, CAR, , 7900","Josh Lambo, SD, , 4500","TB, TB, , 4200",59800,165.8512546
"Ben Roethlisberger, PIT, , 8400","Chris Thompson, WAS, , 5200","Le'Veon Bell, PIT, , 8300","Antonio Brown, PIT, , 9400","Travis Benjamin, SD, , 6600","Breshad Perriman, BAL, , 5000","Greg Olsen, CAR, , 7900","Josh Lambo, SD, , 4500","NE, NE, , 4500",59800,165.8317779
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Mark Ingram, NO, , 6800","Antonio Brown, PIT, , 9400","DeAndre Hopkins, HOU, , 8600","Cole Beasley, DAL, , 5200","Hunter Henry, SD, , 4500","Josh Lambo, SD, , 4500","TEN, TEN, , 4100",59800,165.8168927
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Mark Ingram, NO, , 6800","Antonio Brown, PIT, , 9400","Michael Crabtree, OAK, , 6500","Cameron Meredith, CHI, , 4500","Jordan Reed, WAS, , 7500","Josh Lambo, SD, , 4500","TEN, TEN, , 4100",60000,165.810073
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Theo Riddick, DET, , 6600","Antonio Brown, PIT, , 9400","Cole Beasley, DAL, , 5200","Breshad Perriman, BAL, , 5000","Greg Olsen, CAR, , 7900","Josh Lambo, SD, , 4500","NE, NE, , 4500",59800,165.802634
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Mark Ingram, NO, , 6800","Antonio Brown, PIT, , 9400","Cole Beasley, DAL, , 5200","Cameron Meredith, CHI, , 4500","Greg Olsen, CAR, , 7900","Chris Boswell, PIT, , 4800","NYJ, NYJ, , 4400",59700,165.7730062
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Mark Ingram, NO, , 6800","Antonio Brown, PIT, , 9400","DeAndre Hopkins, HOU, , 8600","Terrance Williams, DAL, , 4600","Hunter Henry, SD, , 4500","Chris Boswell, PIT, , 4800","NYJ, NYJ, , 4400",59800,165.7636257
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Mark Ingram, NO, , 6800","Antonio Brown, PIT, , 9400","John Brown, ARI, , 6200","Cameron Meredith, CHI, , 4500","Greg Olsen, CAR, , 7900","Josh Lambo, SD, , 4500","NO, NO, , 4000",60000,165.7547035
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Lamar Miller, HOU, , 8200","Antonio Brown, PIT, , 9400","Emmanuel Sanders, DEN, , 6900","Cameron Meredith, CHI, , 4500","Hunter Henry, SD, , 4500","Josh Lambo, SD, , 4500","ARI, ARI, , 5300",60000,165.7544408
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Mark Ingram, NO, , 6800","Antonio Brown, PIT, , 9400","Cole Beasley, DAL, , 5200","Cameron Meredith, CHI, , 4500","Greg Olsen, CAR, , 7900","Josh Lambo, SD, , 4500","NE, NE, , 4500",59500,165.7512776
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Mark Ingram, NO, , 6800","Antonio Brown, PIT, , 9400","DeAndre Hopkins, HOU, , 8600","Terrance Williams, DAL, , 4600","Hunter Henry, SD, , 4500","Josh Lambo, SD, , 4500","NE, NE, , 4500",59600,165.7418971
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Mark Ingram, NO, , 6800","Antonio Brown, PIT, , 9400","Emmanuel Sanders, DEN, , 6900","Breshad Perriman, BAL, , 5000","Hunter Henry, SD, , 4500","Josh Lambo, SD, , 4500","ARI, ARI, , 5300",59100,165.7389923
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Mark Ingram, NO, , 6800","Antonio Brown, PIT, , 9400","DeAndre Hopkins, HOU, , 8600","Michael Thomas, NO, , 5300","Hunter Henry, SD, , 4500","Josh Lambo, SD, , 4500","TB, TB, , 4200",60000,165.7141303
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Mark Ingram, NO, , 6800","Antonio Brown, PIT, , 9400","Jermaine Kearse, SEA, , 4900","Breshad Perriman, BAL, , 5000","Greg Olsen, CAR, , 7900","Chris Boswell, PIT, , 4800","NE, NE, , 4500",60000,165.6340661
"Ben Roethlisberger, PIT, , 8400","Dexter McCluster, SD, , 4500","Le'Veon Bell, PIT, , 8300","Antonio Brown, PIT, , 9400","Emmanuel Sanders, DEN, , 6900","Breshad Perriman, BAL, , 5000","Greg Olsen, CAR, , 7900","Josh Lambo, SD, , 4500","SEA, SEA, , 5000",59900,165.6233394
"Ben Roethlisberger, PIT, , 8400","Terrance West, BAL, , 4900","Le'Veon Bell, PIT, , 8300","Antonio Brown, PIT, , 9400","Emmanuel Sanders, DEN, , 6900","Breshad Perriman, BAL, , 5000","Greg Olsen, CAR, , 7900","Josh Lambo, SD, , 4500","NYJ, NYJ, , 4400",59700,165.6060729
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Mark Ingram, NO, , 6800","Antonio Brown, PIT, , 9400","Terrance Williams, DAL, , 4600","Breshad Perriman, BAL, , 5000","Greg Olsen, CAR, , 7900","Chris Boswell, PIT, , 4800","NE, NE, , 4500",59700,165.5735661
"Ben Roethlisberger, PIT, , 8400","Chris Thompson, WAS, , 5200","Le'Veon Bell, PIT, , 8300","Antonio Brown, PIT, , 9400","Travis Benjamin, SD, , 6600","Breshad Perriman, BAL, , 5000","Greg Olsen, CAR, , 7900","Josh Lambo, SD, , 4500","NYJ, NYJ, , 4400",59700,165.5686458
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Mark Ingram, NO, , 6800","Antonio Brown, PIT, , 9400","Cole Beasley, DAL, , 5200","Cameron Meredith, CHI, , 4500","Greg Olsen, CAR, , 7900","Josh Lambo, SD, , 4500","HOU, HOU, , 4900",59900,165.4917844
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Mark Ingram, NO, , 6800","Antonio Brown, PIT, , 9400","Cole Beasley, DAL, , 5200","Cameron Meredith, CHI, , 4500","Greg Olsen, CAR, , 7900","Josh Lambo, SD, , 4500","NYJ, NYJ, , 4400",59400,165.4881455
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Mark Ingram, NO, , 6800","Antonio Brown, PIT, , 9400","DeAndre Hopkins, HOU, , 8600","Terrance Williams, DAL, , 4600","Hunter Henry, SD, , 4500","Josh Lambo, SD, , 4500","HOU, HOU, , 4900",60000,165.4824038
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Mark Ingram, NO, , 6800","Antonio Brown, PIT, , 9400","DeAndre Hopkins, HOU, , 8600","Terrance Williams, DAL, , 4600","Hunter Henry, SD, , 4500","Josh Lambo, SD, , 4500","NYJ, NYJ, , 4400",59500,165.478765
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Todd Gurley, LA, , 7700","Antonio Brown, PIT, , 9400","Michael Crabtree, OAK, , 6500","Breshad Perriman, BAL, , 5000","Hunter Henry, SD, , 4500","Chris Boswell, PIT, , 4800","ARI, ARI, , 5300",59900,165.4732101
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Mark Ingram, NO, , 6800","Antonio Brown, PIT, , 9400","Brice Butler, DAL, , 4500","Breshad Perriman, BAL, , 5000","Greg Olsen, CAR, , 7900","Josh Lambo, SD, , 4500","DEN, DEN, , 5200",60000,165.4446647
"Carson Palmer, ARI, , 8000","Le'Veon Bell, PIT, , 8300","Spencer Ware, KC, , 6200","Antonio Brown, PIT, , 9400","John Brown, ARI, , 6200","Breshad Perriman, BAL, , 5000","Greg Olsen, CAR, , 7900","Josh Lambo, SD, , 4500","NE, NE, , 4500",60000,165.3958063
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Mark Ingram, NO, , 6800","Antonio Brown, PIT, , 9400","Jermaine Kearse, SEA, , 4900","Breshad Perriman, BAL, , 5000","Greg Olsen, CAR, , 7900","Chris Boswell, PIT, , 4800","NYJ, NYJ, , 4400",59900,165.370934
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Mark Ingram, NO, , 6800","Antonio Brown, PIT, , 9400","Cole Beasley, DAL, , 5200","Breshad Perriman, BAL, , 5000","Greg Olsen, CAR, , 7900","Josh Lambo, SD, , 4500","TEN, TEN, , 4100",59600,165.363701
"Ben Roethlisberger, PIT, , 8400","Le'Veon Bell, PIT, , 8300","Mark Ingram, NO, , 6800","Antonio Brown, PIT, , 9400","Jermaine Kearse, SEA, , 4900","Breshad Perriman, BAL, , 5000","Greg Olsen, CAR, , 7900","Josh Lambo, SD, , 4500","NE, NE, , 4500",59700,165.3492054
