"Key","mean.old","min","max","freq","Id","Name","Position","Source","Injury Indicator","Injury Details","PredictedPoints","Salary","Team","Opponent","Home","NameRM","deepBonus","mean"
"Datl",5.66,5.66,5.66,1,"16502-12525","ATL","D","FanDuel","","",5.75,4200,"ATL","DEN",FALSE,"atl",-0.154172839358846,4.78738172922893
"Dbal",7.17,7.17,7.17,1,"16502-12555","BAL","D","FanDuel","","",8,4400,"BAL","WAS",TRUE,"bal",-0.0375576028921638,6.90071198726319
"Dbuf",7.7,7.7,7.7,1,"16502-12526","BUF","D","FanDuel","","",13,4600,"BUF","LA",FALSE,"buf",0.0607671679629669,8.16790719331484
"Dchi",6.08,6.08,6.08,1,"16502-12527","CHI","D","FanDuel","","",5.5,4200,"CHI","IND",FALSE,"chi",0.173930923929165,7.13750001748932
"Dcin",7.41,7.41,7.41,1,"16502-12528","CIN","D","FanDuel","","",7,4700,"CIN","DAL",FALSE,"cin",0.4322725749252,10.6131397801957
"Dcle",5.28,5.28,5.28,1,"16502-12529","CLE","D","FanDuel","","",5.5,4000,"CLE","NE",TRUE,"cle",-0.173717038021751,4.36277403924515
"Ddal",6.53,6.53,6.53,1,"16502-12530","DAL","D","FanDuel","","",4.75,4500,"DAL","CIN",TRUE,"dal",-0.118567351156183,5.75575519695012
"Dden",8.74,8.74,8.74,1,"16502-12531","DEN","D","FanDuel","","",13,5100,"DEN","ATL",TRUE,"den",0.0726141281936741,9.37464748041271
"Ddet",6.26,6.26,6.26,1,"16502-12532","DET","D","FanDuel","","",4.5,4400,"DET","PHI",TRUE,"det",-0.122741926631236,5.49163553928846
"Dgb",7.33,7.33,7.33,1,"16502-12533","GB","D","FanDuel","","",5.666666667,4600,"GB","NYG",TRUE,"gb",-0.0295497346613797,7.11340044493209
"Dhou",7.28,7.28,7.28,1,"16502-12556","HOU","D","FanDuel","","",8.25,4700,"HOU","MIN",FALSE,"hou",-0.248252774934606,5.47271979847607
"Dind",6.54,6.54,6.54,1,"16502-12535","IND","D","FanDuel","","",3.25,4400,"IND","CHI",TRUE,"ind",0.301950331925475,8.51475517079261
"Dla",8.26,8.26,8.26,1,"16502-12538","LA","D","FanDuel","","",10.25,4700,"LA","BUF",TRUE,"la",0.160987369241283,9.589755669933
"Dmia",7.19,7.19,7.19,1,"16502-12539","MIA","D","FanDuel","","",6,4600,"MIA","TEN",TRUE,"mia",-0.0386603226327411,6.91203228027059
"Dmin",9.48,9.48,9.48,1,"16502-12540","MIN","D","FanDuel","","",16.75,4800,"MIN","HOU",TRUE,"min",-0.039802943074443,9.10266809965428
"Dne",8.88,8.88,8.88,1,"16502-12541","NE","D","FanDuel","","",8,4800,"NE","CLE",FALSE,"ne",0.356242172963646,12.0434304959172
"Dnyg",5.88,5.88,5.88,1,"16502-12543","NYG","D","FanDuel","","",4.5,4400,"NYG","GB",FALSE,"nyg",-0.0477014269451208,5.59951560956269
"Dnyj",6.93,6.93,6.93,1,"16502-12544","NYJ","D","FanDuel","","",5.25,4100,"NYJ","PIT",FALSE,"nyj",-0.10248237282082,6.21979715635172
"Doak",6.76,6.76,6.76,1,"16502-12537","OAK","D","FanDuel","","",4,4500,"OAK","SD",TRUE,"oak",-0.105587697295757,6.04622716628068
"Dphi",7.56,7.56,7.56,1,"16502-12545","PHI","D","FanDuel","","",13.66666667,4600,"PHI","DET",FALSE,"phi",-0.0967325750481296,6.82870173263614
"Dpit",7.55,7.55,7.55,1,"16502-12547","PIT","D","FanDuel","","",4.75,4900,"PIT","NYJ",TRUE,"pit",-0.108572791295013,6.73027542572265
"Dsd",5.39,5.39,5.39,1,"16502-12548","SD","D","FanDuel","","",6.75,4200,"SD","OAK",FALSE,"sd",-0.125110699233697,4.71565333113037
"Dten",6.56,6.56,6.56,1,"16502-12534","TEN","D","FanDuel","","",5.75,4200,"TEN","MIA",FALSE,"ten",-0.0198829464526694,6.42956787127049
