"","Name","Position","mean","min","max","freq","range"
"1","A.J. Green","WR",11.863749962,10.8,14.41874981,5,3.61874981
"2","Aaron Burbridge","WR",3.08125,3.08125,3.08125,2,0
"3","Aaron Dobson","WR",3.433333397,3.433333397,3.433333397,1,0
"4","Aaron Rodgers","QB",19.085999878,17.34,20,5,2.66
"5","Adam Humphries","WR",6.018181818,4.136363636,7.9,2,3.763636364
"6","Adam Vinatieri","K",8.3825,7.6875,8.9125,5,1.225
"7","Adrian Peterson","RB",12.713749962,7.4,15.35624981,5,7.95624981
"8","AJ McCarron","QB",8.17999976,8.17999976,8.17999976,1,0
"9","Albert Wilson","WR",6.57142849866667,4.4,9.8,3,5.4
"10","Alex Smith","QB",19.337999878,16.25,27,5,10.75
"11","Alfred Blue","RB",6.18095230833333,3.1,8,3,4.9
"12","Alfred Morris","RB",4.19999996833333,3.4375,5.724999905,3,2.287499905
"13","Allen Hurns","WR",7.607166748,5.9,12.87333374,5,6.97333374
"14","Allen Robinson","WR",12.575,9.7,16.5,5,6.8
"15","Alshon Jeffery","WR",10.721666598,7.8,14.63333299,5,6.83333299
"16","Amari Cooper","WR",10.513749962,9.4625,11.6,5,2.1375
"17","Ameer Abdullah","RB",7.73375,6.53125,8.71875,5,2.1875
"18","Andre Ellington","RB",4.9099998475,3.1,6.719999695,2,3.619999695
"19","Andre Holmes","WR",4.2653845565,3.930769113,4.6,2,0.669230886999999
"20","Andre Johnson","WR",4.5625000955,3.2,5.925000191,2,2.725000191
"21","Andre Roberts","WR",3.125,3.125,3.125,1,0
"22","Andrew Franks","K",5.945,4.875,6.875,5,2
"23","Andrew Hawkins","WR",6.44583326966667,4.4,9.8,3,5.4
"24","Andrew Luck","QB",19.055642752,18.35625,20.40571376,5,2.04946376
"25","Andy Dalton","QB",16.396115338,14.8,19.32307669,5,4.52307669
"26","Anquan Boldin","WR",5.934285627,4.75,9.671428135,5,4.921428135
"27","Anthony Fasano","TE",3.850000109,3.850000109,3.850000109,1,0
"28","Antonio Andrews","RB",7.252857208,7.252857208,7.252857208,1,0
"29","Antonio Brown","WR",16.010000152,13.1,20.01250076,5,6.91250076
"30","Antonio Gates","TE",6.7575,4.5,11,5,6.5
"31","Arian Foster","RB",10.395,8.0375,16.5,5,8.4625
"32","Arizona","D",7.6,7.6,7.6,1,0
"33","Arizona Cardinals","D",10.5,10.5,10.5,1,0
"34","Atlanta","D",4.2,4.2,4.2,1,0
"35","Atlanta Falcons","D",5.8125,5.8125,5.8125,1,0
