"Key","Name","Position","Source","PredictedPoints","Salary","Team"
"Datl","ATL","D","FantasyPros",5.71,4000,"ATL"
"Dbal","BAL","D","FantasyPros",7.19,4400,"BAL"
"Dbuf","BUF","D","FantasyPros",7.7,4300,"BUF"
"Dcar","CAR","D","FantasyPros",8.43,4800,"CAR"
"Dchi","CHI","D","FantasyPros",5.88,4200,"CHI"
"Dcle","CLE","D","FantasyPros",5.27,4200,"CLE"
"Ddal","DAL","D","FantasyPros",6.53,4700,"DAL"
"Dden","DEN","D","FantasyPros",8.74,5200,"DEN"
"Ddet","DET","D","FantasyPros",6.31,4500,"DET"
"Dhou","HOU","D","FantasyPros",7.28,4900,"HOU"
"Dla","LA","D","FantasyPros",8.26,4400,"LA"
"Dne","NE","D","FantasyPros",8.99,4500,"NE"
"Dnyj","NYJ","D","FantasyPros",7.17,4400,"NYJ"
"Doak","OAK","D","FantasyPros",6.76,4500,"OAK"
"Dpit","PIT","D","FantasyPros",7.55,4800,"PIT"
"Dsd","SD","D","FantasyPros",5.39,4300,"SD"
"Dtb","TB","D","FantasyPros",6.08,4200,"TB"
"Dten","TEN","D","FantasyPros",6.56,4100,"TEN"
"Dwas","WAS","D","FantasyPros",6.52,4600,"WAS"
"Kbrandonmcmanus","Brandon McManus","K","FantasyPros",7.88,4800,"DEN"
"Kchrisboswell","Chris Boswell","K","FantasyPros",7.77,4800,"PIT"
"Kcodyparkey","Cody Parkey","K","FantasyPros",6.21,4500,"CLE"
"Kconnorbarth","Connor Barth","K","FantasyPros",6.59,4500,"CHI"
"Kdanbailey","Dan Bailey","K","FantasyPros",7.96,4600,"DAL"
"Kdancarpenter","Dan Carpenter","K","FantasyPros",6.68,4500,"BUF"
"Kdustinhopkins","Dustin Hopkins","K","FantasyPros",7.27,4500,"WAS"
"Kgrahamgano","Graham Gano","K","FantasyPros",8.24,4800,"CAR"
"Kgregzuerlein","Greg Zuerlein","K","FantasyPros",6.5,4500,"LA"
"Kjoshlambo","Josh Lambo","K","FantasyPros",7.84,4500,"SD"
"Kjustintucker","Justin Tucker","K","FantasyPros",8.53,5100,"BAL"
"Kmattbryant","Matt Bryant","K","FantasyPros",6.92,4600,"ATL"
"Kmattprater","Matt Prater","K","FantasyPros",6.98,4700,"DET"
"Knickfolk","Nick Folk","K","FantasyPros",6.54,4500,"NYJ"
"Knicknovak","Nick Novak","K","FantasyPros",6.83,4500,"HOU"
"Krobertoaguayo","Roberto Aguayo","K","FantasyPros",6.22,4500,"TB"
"Kryansuccop","Ryan Succop","K","FantasyPros",6.29,4500,"TEN"
"Ksebastianjanikowski","Sebastian Janikowski","K","FantasyPros",7.08,4700,"OAK"
"Kstephengostkowski","Stephen Gostkowski","K","FantasyPros",8.9,5200,"NE"
"QBaustindavis","Austin Davis","QB","FantasyPros",0,5500,"DEN"
"QBbenroethlisberger","Ben Roethlisberger","QB","FantasyPros",21.3,8400,"PIT"
"QBbjdaniels","B.J. Daniels","QB","FantasyPros",0,5000,"CHI"
"QBbrandonweeden","Brandon Weeden","QB","FantasyPros",0,6000,"HOU"
"QBbrianhoyer","Brian Hoyer","QB","FantasyPros",17.49,6000,"CHI"
"QBbrockosweiler","Brock Osweiler","QB","FantasyPros",13.42,7300,"HOU"
"QBbrycepetty","Bryce Petty","QB","FantasyPros",0,5000,"NYJ"
"QBcamnewton","Cam Newton","QB","FantasyPros",21.24,9300,"CAR"
"QBcardalejones","Cardale Jones","QB","FantasyPros",0,5000,"BUF"
"QBcasekeenum","Case Keenum","QB","FantasyPros",3.72,6500,"LA"
"QBcharliewhitehurst","Charlie Whitehurst","QB","FantasyPros",0,6000,"CLE"
"QBchristianhackenberg","Christian Hackenberg","QB","FantasyPros",0,5000,"NYJ"
"QBcodykessler","Cody Kessler","QB","FantasyPros",1.41,6300,"CLE"
"QBcoltmccoy","Colt McCoy","QB","FantasyPros",0,5500,"WAS"
"QBconnorcook","Connor Cook","QB","FantasyPros",0,5000,"OAK"
"QBdakprescott","Dak Prescott","QB","FantasyPros",16.85,7200,"DAL"
"QBdanorlovsky","Dan Orlovsky","QB","FantasyPros",0,5000,"DET"
"QBdavidfales","David Fales","QB","FantasyPros",0,5000,"BAL"
"QBderekanderson","Derek Anderson","QB","FantasyPros",12.79,5000,"CAR"
"QBderekcarr","Derek Carr","QB","FantasyPros",19.58,8000,"OAK"
