"","Name","Position","Team"
"304","ATL","D","ATL"
"305","NYG","D","NYG"
"306","IND","D","IND"
"307","HOU","D","HOU"
"308","Todd Gurley","RB","LA"
"309","DAL","D","DAL"
"310","Mohamed Sanu","WR","ATL"
"311","LA","D","LA"
"312","OAK","D","OAK"
"313","BAL","D","BAL"
"314","Charles Sims","RB","TB"
"315","NYJ","D","NYJ"
"316","BUF","D","BUF"
"317","WAS","D","WAS"
"318","Terrelle Pryor","WR","CLE"
"319","TEN","D","TEN"
"320","JAX","D","JAC"
"321","KC","D","KC"
"322","Golden Tate","WR","DET"
"323","CLE","D","CLE"
"324","Marvin Jones Jr.","WR","DET"
"325","PIT","D","PIT"
"326","CIN","D","CIN"
"327","ARI","D","ARI"
"328","Eli Rogers","WR","PIT"
"329","PHI","D","PHI"
"330","CHI","D","CHI"
"331","NE","D","NE"
"332","MIA","D","MIA"
"333","SEA","D","SEA"
"334","TB","D","TB"
"335","NO","D","NO"
"336","Will Fuller","WR","HOU"
"337","DET","D","DET"
"338","GB","D","GB"
"339","SF","D","SF"
"340","MIN","D","MIN"
"341","SD","D","SD"
