"","V1","V2","V3"
"2","Jake Coker, QB","Injury Reserve","Aug 31"
"4","Justin Bethel, CB","Questionable","Aug 31"
"6","Tyrann Mathieu, S","Questionable","Aug 30"
"8","Elie Bouka, CB","Injury Reserve","Aug 30"
"10","Alan Ball, CB","Questionable","Aug 30"
"12","John Brown, WR","Questionable","Aug 30"
"14","Stepfan Taylor, RB","Questionable","Aug 29"
"16","Mike Jenkins, CB","Injury Reserve","Aug 29"
"18","Patrick Peterson, CB","Probable","Aug 28"
"20","Kerwynn Williams, RB","Questionable","Aug 28"
"22","Larry Fitzgerald, WR","Questionable","Aug 28"
"26","Devin Fuller, WR","Injury Reserve","Aug 30"
"28","Brandon Wilds, RB","Probable","Aug 29"
"30","Prince Shembo, LB","Out","Aug 29"
"32","Kemal Ishmael, SS","Probable","Aug 29"
"34","Matt Bryant, PK","Probable","Aug 29"
"36","Julio Jones, WR","Probable","Aug 29"
"38","Dwight Freeney, DE","Questionable","Aug 29"
"42","Maxx Williams, TE","Questionable","Aug 31"
"44","John Urschel, OG","Questionable","Aug 31"
"46","Za'Darius Smith, LB","Questionable","Aug 31"
"48","Dennis Pitta, TE","Questionable","Aug 31"
"50","Kendrick Lewis, S","Questionable","Aug 31"
"52","Elvis Dumervil, LB","Questionable","Aug 31"
"54","Stephane Nembot, OT","Injury Reserve","Aug 30"
"56","Bronson Kaufusi, DE","Injury Reserve","Aug 30"
"58","Breshad Perriman, WR","Questionable","Aug 30"
"60","Lorenzo Taliaferro, RB","Out","Aug 30"
"62","Kyle Arrington, CB","Injury Reserve","Aug 29"
"64","Benjamin Watson, TE","Injury Reserve","Aug 29"
"66","Lardarius Webb, CB","Questionable","Aug 29"
"68","Kenneth Dixon, RB","Out","Aug 28"
"72","Jonathan Williams, RB","Questionable","Aug 31"
"74","Brandon Spikes, LB","Questionable","Aug 31"
"76","Walter Powell, WR","Questionable","Aug 31"
"78","Marquise Goodwin, WR","Questionable","Aug 31"
"80","Cordy Glenn, OT","Questionable","Aug 31"
"82","Justin Renfrow, OT","Injury Reserve","Aug 31"
"84","Chris Gragg, TE","Injury Reserve","Aug 31"
"86","Jonathan Dowling, S","Injury Reserve","Aug 31"
"88","Cardale Jones, QB","Questionable","Aug 31"
"90","Reggie Ragland, LB","Injury Reserve","Aug 30"
"92","Marcus Easley, WR","Out","Aug 30"
"94","Kolby Listenbee, WR","Out","Aug 30"
"96","Shaq Lawson, DE","Out","Aug 30"
"98","Seantrel Henderson, OT","Questionable","Aug 30"
"100","Nickell Robey-Coleman, CB","Questionable","Aug 30"
"102","David Hawthorne, LB","Questionable","Aug 30"
"104","Kevon Seymour, CB","Questionable","Aug 30"
"106","Aaron Williams, S","Questionable","Aug 28"
"110","Rakim Cox, DE","Injury Reserve","Aug 31"
"112","LaRon Byrd, WR","Injury Reserve","Aug 31"
"114","Leonard Johnson, CB","Out","Aug 30"
"118","Lamin Barrow, LB","Injury Reserve","Aug 31"
"120","Bryce Callahan, DB","Questionable","Aug 31"
"122","Roy Robertson-Harris, LB","Out","Aug 30"
"124","Hroniss Grasu, C","Injury Reserve","Aug 30"
"126","Connor Shaw, QB","Injury Reserve","Aug 30"
"128","Pernell McPhee, LB","Out","Aug 30"
"130","Nick Kwiatkoski, LB","Probable","Aug 29"
"132","Zach Miller, TE","Probable","Aug 29"
"134","Eddie Royal, WR","Probable","Aug 29"
"136","Jonathan Anderson, LB","Questionable","Aug 27"
"138","Brian Hoyer, QB","Probable","Aug 27"
"140","Tracy Porter, DB","Questionable","Aug 27"
"142","Deon Bush, DB","Questionable","Aug 27"
"146","A.J. Green, WR","Questionable","Aug 31"
"148","Mario Alford, WR","Injury Reserve","Aug 31"
"150","Brandon Thompson, DT","Out","Aug 30"
"152","Andrew Billings, DT","Injury Reserve","Aug 30"
"154","T.J. Johnson, C","Questionable","Aug 29"
"156","Adam Jones, CB","Questionable","Aug 29"
"158","Cedric Peerman, RB","Out","Aug 28"
"162","Tramon Williams, DB","Questionable","Aug 31"
"164","Cameron Erving, OL","Questionable","Aug 31"
"166","Justin Gilbert, DB","Questionable","Aug 30"
"168","Nile Lawrence-Stample, DL","Injury Reserve","Aug 29"
"170","Marlon Moore, WR","Questionable","Aug 29"
"172","Glenn Winston, RB","Injury Reserve","Aug 29"
"174","Josh Gordon, WR","Out","Aug 27"
"178","Henoc Muamba, LB","Injury Reserve","Aug 31"
"180","Arjen Colquhoun, CB","Injury Reserve","Aug 31"
"182","James Morris, LB","Injury Reserve","Aug 30"
"184","Jeremiah McKinnon, CB","Injury Reserve","Aug 30"
"186","Shaneil Jenkins, DE","Injury Reserve","Aug 30"
"188","James Hanna, TE","Out","Aug 30"
