"","iteration","Team","teamId","primaryKey","lastName","firstName","Position","jerseyNum","ovr_rating","speed_rating","acceleration_rating","strength_rating","agility_rating","awareness_rating","catching_rating","carrying_rating","throwPower_rating","throwAccuracy_rating","kickPower_rating","kickAccuracy_rating","runBlock_rating","passBlock_rating","tackle_rating","jumping_rating","kickReturn_rating","injury_rating","stamina_rating","toughness_rating","trucking_rating","elusiveness_rating","bCVision_rating","stiffArm_rating","spinMove_rating","jukeMove_rating","impactBlocking_rating","runBlockStrength_rating","runBlockFootwork_rating","passBlockStrength_rating","passBlockFootwork_rating","powerMoves_rating","finesseMoves_rating","blockShedding_rating","pursuit_rating","playRecognition_rating","manCoverage_rating","zoneCoverage_rating","spectacularCatch_rating","catchInTraffic_rating","routeRunning_rating","hitPower_rating","press_rating","release_rating","throwAccuracyShort_rating","throwAccuracyMid_rating","throwAccuracyDeep_rating","playAction_rating","throwOnTheRun_rating","height","weight","age","portraitId","id","_version_","encryptedId","Name","NameRM","Key","Rank"
"573",1,"ARI",7,10743,"Peterson","Patrick","CB",21,91,93,92,67,97,86,81,67,70,52,28,21,45,45,60,97,88,97,97,82,55,93,95,65,87,94,45,45,45,45,45,52,62,43,74,86,92,89,84,66,40,72,96,54,60,37,32,10,35,73,203,26,4444,"13b9edd9-b4fd-4b4b-b009-823f9e7d06f2",1542388798810226688,"j1kkhqj2j11noplv0fba53dmak","Patrick Peterson","patrickpeterson","CBpatrickpeterson",1
"520",1,"ARI",7,11616,"Bethel","Justin","CB",28,74,86,88,64,93,69,60,68,36,36,26,26,45,45,64,97,40,93,92,70,36,65,55,42,68,70,45,45,45,45,45,44,47,46,77,69,77,81,44,35,32,65,71,40,6,6,6,6,6,72,190,26,5048,"d57f491b-3924-44b9-90d1-3f2e5c04ad35",1542388798534451200,"rk10dt79k81dis2bs94r61fack","Justin Bethel","justinbethel","CBjustinbethel",2
"553",1,"ARI",7,28386,"Jenkins","Mike","CB",43,70,88,91,59,85,65,61,68,35,35,25,25,45,45,49,93,65,92,93,82,35,45,70,25,70,80,45,45,45,45,45,32,25,53,67,65,74,73,40,40,40,44,85,30,6,6,6,6,6,70,197,31,1643,"746eba36-efbf-4425-93f1-6003057e59b2",1542388798700126208,"vujqceghn79aukj6igib1772n8","Mike Jenkins","mikejenkins","CBmikejenkins",3
"590",1,"ARI",7,17723,"Williams","Brandon","CB",26,70,93,92,72,91,61,53,75,27,26,18,17,26,20,52,84,56,91,90,88,49,76,74,51,73,79,33,43,44,43,44,24,26,52,76,61,78,70,26,30,40,59,75,36,15,10,8,12,15,72,200,23,8264,"98006cd4-ee64-44c4-8d22-04a0c702b431",1542388798895161344,"sju3gntbqllf23aikt0v2ks97o","Brandon Williams","brandonwilliams","CBbrandonwilliams",4
"551",1,"ARI",7,11588,"Jackson","Asa","CB",46,69,87,90,57,93,65,64,72,36,36,15,11,45,45,49,85,79,85,90,65,31,74,70,32,73,87,45,45,45,45,45,25,30,46,57,65,79,72,65,40,44,40,51,45,6,6,6,6,6,70,182,26,5258,"e1b3fc0a-ffb3-4c06-a4a6-861fb731c055",1542388798688591872,"46ehpvt50n6dl0t5nolcscovbk","Asa Jackson","asajackson","CBasajackson",5
"575",1,"ARI",7,11586,"Prater","Shaun","CB",39,66,86,89,53,89,62,52,64,36,36,25,25,45,45,55,89,45,88,93,72,36,55,62,30,60,66,45,45,45,45,45,35,37,42,75,62,68,75,45,40,30,41,74,30,6,6,6,6,6,70,190,26,5427,"f818ae8c-fe9d-4ac2-8d8d-5c9f89c6019e",1542388798822809600,"6lavj2afpbpn9hj97mtvil5750","Shaun Prater","shaunprater","CBshaunprater",6
"564",1,"ARI",7,17712,"Miller","Harlan","CB",34,62,87,89,59,84,50,67,62,27,26,18,17,26,21,69,85,56,87,86,73,28,65,64,29,69,74,29,43,44,43,44,26,29,54,78,50,73,71,46,42,26,55,81,27,6,6,6,6,6,72,182,22,8148,"4c11ebc7-2787-454e-8caf-27e2a1286167",1542388798754652160,"gqa5ncshvcsi6p20nkesilqkfk","Harlan Miller","harlanmiller","CBharlanmiller",7
"524",1,"ARI",7,2855,"Brooks","Cariel","CB",35,59,86,89,66,81,51,51,49,20,20,22,17,45,45,41,86,41,87,86,65,21,57,46,25,52,63,37,45,45,45,45,24,32,50,71,51,74,66,45,35,18,47,52,20,10,10,10,10,10,70,200,25,7663,"ca6a3c88-a74d-4d73-bdbe-f7dfcc8d6896",1542388798553325568,"bk5a83o9qfnrlu38kj9tuth7a8","Cariel Brooks","carielbrooks","CBcarielbrooks",8
"531",1,"ARI",7,28363,"Campbell","Calais","DL",93,88,71,80,87,80,85,46,45,35,32,30,30,45,45,92,85,10,96,92,80,40,26,20,45,15,15,45,45,45,45,45,74,88,92,88,85,28,42,15,10,10,84,35,12,6,6,6,6,6,80,300,30,655,"2fb3c667-48c8-4e20-a03c-3949dfe03476",1542388798586880000,"bdaas22tup1rmchqkhc88vn1ug","Calais Campbell","calaiscampbell","DLcalaiscampbell",1
"578",1,"ARI",7,27237,"Rucker","Frostee","DL",92,76,73,78,80,70,85,30,40,11,40,15,18,45,45,86,68,10,88,75,85,30,29,10,10,25,10,45,45,45,45,45,81,57,77,78,85,30,44,12,10,10,66,10,12,6,6,6,6,6,75,280,32,2605,"a18ceab8-ec4b-41e7-bb5d-e3a06950cf4f",1542388798840635392,"emlkn319mqjpn94ut913esrebc","Frostee Rucker","frosteerucker","DLfrosteerucker",2
