"","id","Name","Position","PassingCompletions","PassingAttempts","PassingYards","PassingTD","Interceptions","RushingAttempts","RushingYards","RushingTD","Receptions","ReceptionYards","ReceptionTD","MiscFumTD","Misc2Point","FumblesLost","Source","PredictedPoints"
"4","","Cam Newton","QB",304.1,525.9,3785.9,28.1,13,125.3,680.7,5.7,0,0,0,-1,-1,-1,"ESPN",20.98125
"5","","Aaron Rodgers","QB",351.7,558.2,4207.9,32.3,7.4,51.1,238,1.5,0,0,0,-1,-1,-1,"ESPN",19.38125
"6","","Russell Wilson","QB",299.8,477,3737.6,29.8,10.1,95.5,494.6,2.6,0,0,0,-1,-1,-1,"ESPN",19.2125
"7","","Andrew Luck","QB",361.7,624.2,4336,31.8,19.1,64.8,265.2,1.7,0,0,0,-1,-1,-1,"ESPN",18.35625
"8","","Drew Brees","QB",440.9,657.7,4778.1,31.3,15.4,21.7,35.1,0.9,0,0,0,-1,-1,-1,"ESPN",18.2125
"9","","Ben Roethlisberger","QB",377.8,573.4,4528.5,28.5,12.6,27.8,66.7,0.7,0,0,0,-1,-1,-1,"ESPN",17.61875
"10","","Carson Palmer","QB",345.6,567.4,4328.2,29.4,16.3,24.6,48.6,1,0,0,0,-1,-1,-1,"ESPN",16.4375
"11","","Tom Brady","QB",302.8,478.2,3381.8,25.3,7,27.4,21.6,1.5,0,0,0,-1,-1,-1,"ESPN",14.45625
"12","","Eli Manning","QB",380.5,608.3,4537.1,30.7,15.2,20.8,37.7,0.4,0,0,0,-1,-1,-1,"ESPN",17
"13","","Blake Bortles","QB",325.4,574.1,3880.5,28.4,15.7,50.5,261.4,1.4,0,0,0,-1,-1,-1,"ESPN",16.35
"14","","Philip Rivers","QB",404.2,616.3,4480.4,28.3,14.9,23,61.3,0.5,0,0,0,-1,-1,-1,"ESPN",16.75
"15","","Tyrod Taylor","QB",274.7,451.9,3239,21.2,12,112,576.8,4.5,0,0,0,-1,-1,-1,"ESPN",16.6625
