"","QB.Name","RB1.Name","RB2.Name","WR1.Name","WR2.Name","WR3.Name","TE.Name","K.Name","D.Name","FantasyPoints","Salary"
"1","Carson Wentz","Bruce Miller","Dexter McCluster","DeAndre Hopkins","Julio Jones","Antonio Brown","Rob Gronkowski","Stephen Gostkowski","Kansas City Chiefs","73.105625","59500"
"2","Carson Wentz","Bruce Miller","Dexter McCluster","DeAndre Hopkins","Odell Beckham Jr.","Antonio Brown","Rob Gronkowski","Chandler Catanzaro","Kansas City Chiefs","70.9775","59500"
"3","Carson Wentz","Bruce Miller","Dexter McCluster","DeAndre Hopkins","Odell Beckham Jr.","Antonio Brown","Rob Gronkowski","Justin Tucker","Kansas City Chiefs","71.19625","59500"
"4","Carson Wentz","Bruce Miller","Dexter McCluster","DeAndre Hopkins","Odell Beckham Jr.","Antonio Brown","Rob Gronkowski","Stephen Gostkowski","Arizona Cardinals","71.018125","59500"
"5","Carson Wentz","Bruce Miller","Dexter McCluster","DeAndre Hopkins","Odell Beckham Jr.","Antonio Brown","Rob Gronkowski","Stephen Gostkowski","Seattle Seahawks","70.830625","59500"
"6","Carson Wentz","Bruce Miller","Dexter McCluster","DeAndre Hopkins","Odell Beckham Jr.","Antonio Brown","Rob Gronkowski","Stephen Gostkowski","Kansas City Chiefs","71.643125","59600"
"7","Carson Wentz","Bruce Miller","Dexter McCluster","Jordy Nelson","Julio Jones","Antonio Brown","Rob Gronkowski","Stephen Gostkowski","Kansas City Chiefs","69.073125","59500"
"8","Carson Wentz","Bruce Miller","Dexter McCluster","Jordy Nelson","Odell Beckham Jr.","Antonio Brown","Rob Gronkowski","Chandler Catanzaro","Kansas City Chiefs","66.945","59500"
"9","Carson Wentz","Bruce Miller","Dexter McCluster","Jordy Nelson","Odell Beckham Jr.","Antonio Brown","Rob Gronkowski","Justin Tucker","Kansas City Chiefs","67.16375","59500"
"10","Carson Wentz","Bruce Miller","Dexter McCluster","Jordy Nelson","Odell Beckham Jr.","Antonio Brown","Rob Gronkowski","Stephen Gostkowski","Arizona Cardinals","66.985625","59500"
"11","Carson Wentz","Bruce Miller","Dexter McCluster","Jordy Nelson","Odell Beckham Jr.","Antonio Brown","Rob Gronkowski","Stephen Gostkowski","Seattle Seahawks","66.798125","59500"
"12","Carson Wentz","Bruce Miller","Dexter McCluster","Jordy Nelson","Odell Beckham Jr.","Antonio Brown","Rob Gronkowski","Stephen Gostkowski","Kansas City Chiefs","67.610625","59600"
"13","Carson Wentz","Bruce Miller","Dexter McCluster","Allen Robinson","Julio Jones","Antonio Brown","Rob Gronkowski","Chandler Catanzaro","Kansas City Chiefs","68.4775","59500"
"14","Carson Wentz","Bruce Miller","Dexter McCluster","Allen Robinson","Julio Jones","Antonio Brown","Rob Gronkowski","Justin Tucker","Kansas City Chiefs","68.69625","59500"
"15","Carson Wentz","Bruce Miller","Dexter McCluster","Allen Robinson","Julio Jones","Antonio Brown","Rob Gronkowski","Stephen Gostkowski","Arizona Cardinals","68.518125","59500"
"16","Carson Wentz","Bruce Miller","Dexter McCluster","Allen Robinson","Julio Jones","Antonio Brown","Rob Gronkowski","Stephen Gostkowski","Seattle Seahawks","68.330625","59500"
"17","Carson Wentz","Bruce Miller","Dexter McCluster","Allen Robinson","Julio Jones","Antonio Brown","Rob Gronkowski","Stephen Gostkowski","Kansas City Chiefs","69.143125","59600"
"18","Carson Wentz","Bruce Miller","Dexter McCluster","Allen Robinson","Odell Beckham Jr.","Antonio Brown","Rob Gronkowski","Adam Vinatieri","Kansas City Chiefs","67.630625","59500"
"19","Carson Wentz","Bruce Miller","Dexter McCluster","Allen Robinson","Odell Beckham Jr.","Antonio Brown","Rob Gronkowski","Cairo Santos","Kansas City Chiefs","66.865","59500"
"20","Carson Wentz","Bruce Miller","Dexter McCluster","Allen Robinson","Odell Beckham Jr.","Antonio Brown","Rob Gronkowski","Dan Bailey","Kansas City Chiefs","67.299375","59500"
"21","Carson Wentz","Bruce Miller","Dexter McCluster","Allen Robinson","Odell Beckham Jr.","Antonio Brown","Rob Gronkowski","Steven Hauschka","Kansas City Chiefs","67.561875","59500"
"22","Carson Wentz","Bruce Miller","Dexter McCluster","Allen Robinson","Odell Beckham Jr.","Antonio Brown","Rob Gronkowski","Chandler Catanzaro","Arizona Cardinals","66.39","59500"
"23","Carson Wentz","Bruce Miller","Dexter McCluster","Allen Robinson","Odell Beckham Jr.","Antonio Brown","Rob Gronkowski","Chandler Catanzaro","Seattle Seahawks","66.2025","59500"
"24","Carson Wentz","Bruce Miller","Dexter McCluster","Allen Robinson","Odell Beckham Jr.","Antonio Brown","Rob Gronkowski","Chandler Catanzaro","Kansas City Chiefs","67.015","59600"
"25","Carson Wentz","Bruce Miller","Dexter McCluster","Allen Robinson","Odell Beckham Jr.","Antonio Brown","Rob Gronkowski","Justin Tucker","Arizona Cardinals","66.60875","59500"
"26","Carson Wentz","Bruce Miller","Dexter McCluster","Allen Robinson","Odell Beckham Jr.","Antonio Brown","Rob Gronkowski","Justin Tucker","Seattle Seahawks","66.42125","59500"
"27","Carson Wentz","Bruce Miller","Dexter McCluster","Allen Robinson","Odell Beckham Jr.","Antonio Brown","Rob Gronkowski","Justin Tucker","Kansas City Chiefs","67.23375","59600"
"28","Carson Wentz","Bruce Miller","Dexter McCluster","Allen Robinson","Odell Beckham Jr.","Antonio Brown","Rob Gronkowski","Stephen Gostkowski","Houston Texans","65.993125","59500"
"29","Carson Wentz","Bruce Miller","Dexter McCluster","Allen Robinson","Odell Beckham Jr.","Antonio Brown","Rob Gronkowski","Stephen Gostkowski","Arizona Cardinals","67.055625","59600"
"30","Carson Wentz","Bruce Miller","Dexter McCluster","Allen Robinson","Odell Beckham Jr.","Antonio Brown","Rob Gronkowski","Stephen Gostkowski","Seattle Seahawks","66.868125","59600"
"31","Carson Wentz","Bruce Miller","Dexter McCluster","Allen Robinson","Odell Beckham Jr.","Antonio Brown","Rob Gronkowski","Stephen Gostkowski","Kansas City Chiefs","67.680625","59700"
"32","Carson Wentz","Bruce Miller","Dexter McCluster","Julio Jones","Odell Beckham Jr.","Antonio Brown","Rob Gronkowski","Andrew Franks","Houston Texans","69.895","59500"
"33","Carson Wentz","Bruce Miller","Dexter McCluster","Julio Jones","Odell Beckham Jr.","Antonio Brown","Rob Gronkowski","Andrew Franks","Arizona Cardinals","70.9575","59600"
"34","Carson Wentz","Bruce Miller","Dexter McCluster","Julio Jones","Odell Beckham Jr.","Antonio Brown","Rob Gronkowski","Andrew Franks","Seattle Seahawks","70.77","59600"
"35","Carson Wentz","Bruce Miller","Dexter McCluster","Julio Jones","Odell Beckham Jr.","Antonio Brown","Rob Gronkowski","Andrew Franks","Kansas City Chiefs","71.5825","59700"
"36","Carson Wentz","Bruce Miller","Dexter McCluster","Julio Jones","Odell Beckham Jr.","Antonio Brown","Rob Gronkowski","Cody Parkey","Houston Texans","70.085625","59500"
"37","Carson Wentz","Bruce Miller","Dexter McCluster","Julio Jones","Odell Beckham Jr.","Antonio Brown","Rob Gronkowski","Cody Parkey","Arizona Cardinals","71.148125","59600"
"38","Carson Wentz","Bruce Miller","Dexter McCluster","Julio Jones","Odell Beckham Jr.","Antonio Brown","Rob Gronkowski","Cody Parkey","Seattle Seahawks","70.960625","59600"
"39","Carson Wentz","Bruce Miller","Dexter McCluster","Julio Jones","Odell Beckham Jr.","Antonio Brown","Rob Gronkowski","Cody Parkey","Kansas City Chiefs","71.773125","59700"
"40","Carson Wentz","Bruce Miller","Dexter McCluster","Julio Jones","Odell Beckham Jr.","Antonio Brown","Rob Gronkowski","Dustin Hopkins","Houston Texans","70.223125","59500"
"41","Carson Wentz","Bruce Miller","Dexter McCluster","Julio Jones","Odell Beckham Jr.","Antonio Brown","Rob Gronkowski","Dustin Hopkins","Arizona Cardinals","71.285625","59600"
"42","Carson Wentz","Bruce Miller","Dexter McCluster","Julio Jones","Odell Beckham Jr.","Antonio Brown","Rob Gronkowski","Dustin Hopkins","Seattle Seahawks","71.098125","59600"
