"Key","mean.weight","mean.nonweight","min","max","freq","Id","Name","Position","Source","Injury Indicator","PredictedPoints","Salary","Team","Opponent","Home","NameRM","deepBonus","mean"
"Dari",9.32,9.575,9.15,10,2,"16864-12546","ARI","D","FanDuel","",10,5200,"ARI","SF",TRUE,"ari",0.1992266807382,11.17679266448
"Datl",6.5182222222,6.3655555555,6.111111111,6.62,2,"16864-12525","ATL","D","FanDuel","",6.111111111,4600,"ATL","PHI",FALSE,"atl",-0.0122076788653985,6.43864985853808
"Dcar",7.959,7.9275,7.875,7.98,2,"16864-12553","CAR","D","FanDuel","",7.875,5000,"CAR","KC",TRUE,"car",0.341725473118981,10.678793040554
"Dchi",6.374,6.515,6.28,6.75,2,"16864-12527","CHI","D","FanDuel","",6.75,4200,"CHI","TB",FALSE,"chi",0.101730148123857,7.02242796414147
"Ddal",6.623,6.3425,5.875,6.81,2,"16864-12530","DAL","D","FanDuel","",5.875,4600,"DAL","PIT",FALSE,"dal",-0.148397544538687,5.64016306252027
"Dden",8.423111112,9.22277778,7.89,10.55555556,2,"16864-12531","DEN","D","FanDuel","",10.55555556,4600,"DEN","NO",FALSE,"den",0.109455440955569,9.34506645298172
"Dgb",7.256,6.785,6,7.57,2,"16864-12533","GB","D","FanDuel","",6,4500,"GB","TEN",FALSE,"gb",0.128819320459534,8.19071298925438
"Dhou",7.901,7.0475,5.625,8.47,2,"16864-12556","HOU","D","FanDuel","",5.625,4700,"HOU","JAX",FALSE,"hou",0.120680807965123,8.85449906373244
"Djax",5.995,4.6375,2.375,6.9,2,"16864-12554","JAX","D","FanDuel","",2.375,4100,"JAX","HOU",TRUE,"jax",-0.180166412298161,4.91490235827253
"Dkc",8.612,9.32,8.14,10.5,2,"16864-12536","KC","D","FanDuel","",10.5,4700,"KC","CAR",FALSE,"kc",0.20340772641632,10.3637473398973
"Dla",8.588,8.18,7.5,8.86,2,"16864-12538","LA","D","FanDuel","",7.5,4600,"LA","NYJ",FALSE,"la",-0.165571947027374,7.16606811892891
"Dmia",6.559,6.6775,6.48,6.875,2,"16864-12539","MIA","D","FanDuel","",6.875,4500,"MIA","SD",FALSE,"mia",-0.189024086655363,5.31919101562748
"Dmin",9.721,10.6225,9.12,12.125,2,"16864-12540","MIN","D","FanDuel","",12.125,4900,"MIN","WAS",FALSE,"min",0.265652777111295,12.3034106462989
"Dne",7.42,7.075,6.5,7.65,2,"16864-12541","NE","D","FanDuel","",6.5,4500,"NE","SEA",TRUE,"ne",-0.337719131881457,4.91412404143959
"Dno",5.205,4.6125,3.625,5.6,2,"16864-12542","NO","D","FanDuel","",3.625,4200,"NO","DEN",TRUE,"no",-0.184430400601219,4.24503976487066
"Dnyj",7.6186666666,6.3866666665,4.333333333,8.44,2,"16864-12544","NYJ","D","FanDuel","",4.333333333,4800,"NYJ","LA",TRUE,"nyj",-0.0522520368740813,7.22057581500548
"Dphi",7.844,9.215,6.93,11.5,2,"16864-12545","PHI","D","FanDuel","",11.5,4400,"PHI","ATL",TRUE,"phi",-0.105101307212622,7.0195853462242
"Dpit",6.285,5.6625,4.625,6.7,2,"16864-12547","PIT","D","FanDuel","",4.625,4300,"PIT","DAL",TRUE,"pit",-0.0738914675093975,5.82059212670344
"Dsd",7.7226666666,7.9516666665,7.57,8.333333333,2,"16864-12548","SD","D","FanDuel","",8.333333333,4600,"SD","MIA",TRUE,"sd",0.297129714367302,10.0173004074007
"Dsea",7.68,8.175,7.35,9,2,"16864-12550","SEA","D","FanDuel","",9,4500,"SEA","NE",FALSE,"sea",-0.0675922022730149,7.16089188654325
"Dsf",4.87,4.45,3.75,5.15,2,"16864-12549","SF","D","FanDuel","",3.75,4000,"SF","ARI",FALSE,"sf",-0.286719183711097,3.47367757532696
"Dtb",5.928,5.58,5,6.16,2,"16864-12551","TB","D","FanDuel","",5,4300,"TB","CHI",TRUE,"tb",0.394470556994225,8.26642146186177
"Dten",5.8186666666,5.6366666665,5.333333333,5.94,2,"16864-12534","TEN","D","FanDuel","",5.333333333,4000,"TEN","GB",TRUE,"ten",-0.08514737489614,5.32322247454334
"Dwas",7.168,7.105,7,7.21,2,"16864-12552","WAS","D","FanDuel","",7,4400,"WAS","MIN",TRUE,"was",-0.274077871906394,5.20340981417497
"Kandrewfranks",6.324,6.39,6.28,6.5,2,"16864-62619","Andrew Franks","K","FanDuel","",6.5,4600,"MIA","SD",FALSE,"andrewfranks",-0.00610319115283076,6.2854034191495
"Kblairwalsh",6.599,6.7025,6.53,6.875,2,"16864-22110","Blair Walsh","K","FanDuel","",6.875,4500,"MIN","WAS",FALSE,"blairwalsh",-0.00610319115283076,6.55872504158247
"Kbrandonmcmanus",7.984,8.365,7.73,9,2,"16864-26247","Brandon McManus","K","FanDuel","",9,4700,"DEN","NO",FALSE,"brandonmcmanus",0.0397905033548969,8.3016873787855
"Kcairosantos",7.952,8.72,7.44,10,2,"16864-33714","Cairo Santos","K","FanDuel","",10,4800,"KC","CAR",FALSE,"cairosantos",-0.00610319115283076,7.90346742395269
