"Key","mean.weight","mean.nonweight","min","max","freq","Id","Name","Position","Source","Injury Indicator","PredictedPoints","Salary","Team","Opponent","Home","NameRM","deepBonus","mean","cutoffHit"
"Dari",9.3351111112,9.417777778,9.28,9.555555556,2,"16939-12546","ARI","D","FanDuel","",9.555555556,5100,"ARI","MIN",FALSE,"ari",-0.267746785658435,6.83566511741186,FALSE
"Dbal",7.420444444,8.47111111,6.72,10.22222222,2,"16939-12555","BAL","D","FanDuel","",10.22222222,4400,"BAL","DAL",FALSE,"bal",-0.15451108196401,6.27390354430373,FALSE
"Dbuf",7.792,8.245,7.49,9,2,"16939-12526","BUF","D","FanDuel","",9,4300,"BUF","CIN",FALSE,"buf",0.0716620312394296,8.35039054741764,FALSE
"Dchi",6.3351111112,6.417777778,6.28,6.555555556,2,"16939-12527","CHI","D","FanDuel","",6.555555556,4100,"CHI","NYG",FALSE,"chi",-0.243607604858037,4.79182986689103,FALSE
"Dcin",6.7644444444,6.186111111,5.222222222,7.15,2,"16939-12528","CIN","D","FanDuel","",5.222222222,4500,"CIN","BUF",TRUE,"cin",0.136314764014361,7.68653809252664,FALSE
"Dcle",5.004,4.29,3.1,5.48,2,"16939-12529","CLE","D","FanDuel","",3.1,4000,"CLE","PIT",TRUE,"cle",-0.0683835175668609,4.66180887809543,FALSE
"Ddal",6.9644444444,6.311111111,5.222222222,7.4,2,"16939-12530","DAL","D","FanDuel","",5.222222222,4500,"DAL","BAL",TRUE,"dal",-0.136404477253705,6.01446304059915,FALSE
"Ddet",7.112,6.32,5,7.64,2,"16939-12532","DET","D","FanDuel","",5,4600,"DET","JAX",TRUE,"det",-0.129789083602068,6.18894003742209,FALSE
"Dgb",6.232,5.77,5,6.54,2,"16939-12533","GB","D","FanDuel","",5,4200,"GB","WAS",FALSE,"gb",0.108032344925318,6.90525757357458,FALSE
"Dind",5.3973333334,5.1233333335,4.666666667,5.58,2,"16939-12535","IND","D","FanDuel","",4.666666667,4000,"IND","TEN",TRUE,"ind",-0.068392047678291,5.02819865472648,FALSE
"Djax",4.9546666666,3.9716666665,2.333333333,5.61,2,"16939-12554","JAX","D","FanDuel","",2.333333333,4000,"JAX","DET",FALSE,"jax",-0.169385568543233,4.11541763633575,FALSE
"Dkc",9.027555556,9.68388889,8.59,10.77777778,2,"16939-12536","KC","D","FanDuel","",10.77777778,5000,"KC","TB",TRUE,"kc",-0.0105624878311507,8.93220211029471,FALSE
"Dla",7.7395555556,7.753888889,7.73,7.777777778,2,"16939-12538","LA","D","FanDuel","",7.777777778,4700,"LA","MIA",TRUE,"la",0.0541627381192649,8.15875107631746,FALSE
"Dmia",8.104,8.065,8,8.13,2,"16939-12539","MIA","D","FanDuel","",8,4800,"MIA","LA",FALSE,"mia",-0.111728536129249,7.19855194320857,FALSE
"Dmin",8.438222222,9.440555555,7.77,11.11111111,2,"16939-12540","MIN","D","FanDuel","",11.11111111,4500,"MIN","ARI",TRUE,"min",-0.113668057565563,7.47906589271869,FALSE
"Dne",7.9324444444,7.291111111,6.222222222,8.36,2,"16939-12541","NE","D","FanDuel","",6.222222222,4900,"NE","SF",FALSE,"ne",0.441320524060181,11.4331949836809,FALSE
"Dnyg",7.5111111112,7.152777778,6.555555556,7.75,2,"16939-12543","NYG","D","FanDuel","",6.555555556,4700,"NYG","CHI",TRUE,"nyg",0.522915636809654,11.4387885610612,FALSE
"Dphi",7.547555556,8.75888889,6.74,10.77777778,2,"16939-12545","PHI","D","FanDuel","",10.77777778,4300,"PHI","SEA",FALSE,"phi",-0.229379028771417,5.8163045929664,FALSE
"Dpit",7.3262222222,6.1205555555,4.111111111,8.13,2,"16939-12547","PIT","D","FanDuel","",4.111111111,4900,"PIT","CLE",FALSE,"pit",0.165882863887206,8.54151694589263,FALSE
"Dsea",9.5333333334,9.2083333335,8.666666667,9.75,2,"16939-12550","SEA","D","FanDuel","",8.666666667,5200,"SEA","PHI",TRUE,"sea",0.19941131976556,11.4343879151783,FALSE
"Dsf",4.1528888888,4.262222222,4.08,4.444444444,2,"16939-12549","SF","D","FanDuel","",4.444444444,4000,"SF","NE",TRUE,"sf",-0.256713839447349,3.08678483735792,FALSE
"Dtb",6.0542222222,6.4505555555,5.79,7.111111111,2,"16939-12551","TB","D","FanDuel","",7.111111111,4100,"TB","KC",FALSE,"tb",0.320541829155242,7.9948536874163,FALSE
"Dten",6.004,5.965,5.9,6.03,2,"16939-12534","TEN","D","FanDuel","",5.9,4200,"TEN","IND",FALSE,"ten",0.0777484109718098,6.47080145947475,FALSE
"Dwas",6.1697777778,6.4394444445,5.99,6.888888889,2,"16939-12552","WAS","D","FanDuel","",6.888888889,4300,"WAS","GB",TRUE,"was",-0.137720346078656,5.32007384701298,FALSE
"Kadamvinatieri",8.979555556,9.65388889,8.53,10.77777778,2,"16939-6668","Adam Vinatieri","K","FanDuel","",10.77777778,5000,"IND","TEN",TRUE,"adamvinatieri",0.020882857281014,9.16707433312288,FALSE
"Kandrewfranks",6.6791111112,6.632777778,6.555555556,6.71,2,"16939-62619","Andrew Franks","K","FanDuel","",6.555555556,4500,"MIA","LA",FALSE,"andrewfranks",-0.0147313873234483,6.58071853844457,FALSE
"Kcairosantos",8.810666666,9.381666665,8.43,10.33333333,2,"16939-33714","Cairo Santos","K","FanDuel","",10.33333333,4900,"KC","TB",TRUE,"cairosantos",-0.00771080253249168,8.74272935515887,FALSE
"Kcalebsturgis",7.557333334,8.723333335,6.78,10.66666667,2,"16939-30261","Caleb Sturgis","K","FanDuel","",10.66666667,4500,"PHI","SEA",FALSE,"calebsturgis",-0.0147313873234483,7.44600332952444,FALSE
