"","Key","Team","Opponent","Position","Home","mean.weight","mean.nonweight","min","max","freq","Id","Name","Source","Injury Indicator","Injury Details","PredictedPoints","Salary","NameRM","bonusPositionHome","deepBonus","Team.Opponent.QB.1.ovr","Team.Opponent.WR.1.ovr","Team.Opponent.WR.2.ovr","Team.Opponent.WR.3.ovr","Team.Opponent.RB.1.ovr","Team.Opponent.RB.2.ovr","Team.Opponent.OL.1.ovr","Team.Opponent.OL.2.ovr","Team.Opponent.OL.3.ovr","Team.Opponent.OL.4.ovr","Team.Opponent.OL.5.ovr","Team.Opponent.TE.1.ovr","Team.Opponent.DL.1.ovr","Team.Opponent.DL.2.ovr","Team.Opponent.DL.3.ovr","Team.Opponent.DL.4.ovr","Team.Opponent.LB.1.ovr","Team.Opponent.LB.2.ovr","Team.Opponent.LB.3.ovr","Team.Opponent.CB.1.ovr","Team.Opponent.CB.2.ovr","Team.Opponent.CB.3.ovr","Team.Opponent.FS.1.ovr","Team.Opponent.SS.1.ovr","Team.Opponent.K.1.ovr","Team.QB.1.ovr","Team.WR.1.ovr","Team.WR.2.ovr","Team.WR.3.ovr","Team.RB.1.ovr","Team.RB.2.ovr","Team.OL.1.ovr","Team.OL.2.ovr","Team.OL.3.ovr","Team.OL.4.ovr","Team.OL.5.ovr","Team.TE.1.ovr","Team.DL.1.ovr","Team.DL.2.ovr","Team.DL.3.ovr","Team.DL.4.ovr","Team.LB.1.ovr","Team.LB.2.ovr","Team.LB.3.ovr","Team.CB.1.ovr","Team.CB.2.ovr","Team.CB.3.ovr","Team.FS.1.ovr","Team.SS.1.ovr","Team.K.1.ovr","Week","variable","Overall","Depth","Defense.Team","Defense.Opponent","Offense.Team","Offense.Opponent","Core.Offense.Team","Core.Offense.Opponent","Core.Defense.Team","Core.Defense.Opponent","WRs.Team","WRs.Opponent","OL.Team","OL.Opponent","DL.Team","DL.Opponent","Secondary.Team","Secondary.Opponent","Box.Team","Box.Opponent","LBs.Team","LBs.Opponent","Ss.Team","Ss.Opponent","CBs.Team","CB.Opponent","Matchup.All.Team","Matchup.All.Opponent","Matchup.Cores.Team","Matchup.Cores.Opponent","Matchup.QBRBDL.Team","Matchup.QBRBDL.Opponent","Matchup.QBWR1RB1FS1CB1LB1.Team","Matchup.QBWR1RB1FS1CB1LB1.Opponent","Matchup.QBDL.Team","Matchup.QBDL.Opponent","Matchup.RBDL.Team","Matchup.RB1DL.Opponent","Matchup.RB12DL.Team","Matchup.RB2DL.Opponent","Matchup.OLDL.Team","Matchup.OLDL.Opponent","Matchup.WRCB3.Team","Matchup.WRCB3.Opponent","Matchup.WRCB2.Team","Matchup.WRCB2.Opponent","Matchup.WRCB1.Team","Matchup.WRCB1.Opponent","deepPredict","avgGuyPredict"
"1","QBaaronrodgers","GB","NYG","QB",TRUE,22.439333242,22.59666621,22.4,22.79333242,2,"16502-6894","Aaron Rodgers","FanDuel","","",22.79333242,9100,"aaronrodgers",0.0708896874774616,0.0104098035695634,83,92,81,77,81,75,87,82,76,76,75,76,91,86,83,82,80,74,74,85,79,72,69,82,83,96,89,86,75,85,79,90,80,79,78,77,79,92,73,70,66,90,84,82,85,74,68,83,85,81,"5","HomeAbr",96,"1",884,885,993,961,519,501,508,493,250,250,327,321,301,342,327,315,557,570,256,228,168,151,227,236,290,77,208,-7,21,-137,196,-2,-64,-218,-75,-220,-81,-226,244,95,147,9,165,7,174,7,27.2806445127285,22.064035673954
"2","QBandrewluck","IND","CHI","QB",TRUE,20.392000084,20.16000042,19.87000084,20.45,2,"16502-21939","Andrew Luck","FanDuel","Q","Shoulder",19.87000084,8600,"andrewluck",0.0708896874774616,0.117934423982205,79,73,68,65,76,68,82,75,73,70,69,70,77,77,70,69,92,87,81,80,72,69,78,71,79,87,89,72,66,79,70,84,80,77,72,72,80,78,78,71,70,81,79,78,91,78,71,74,81,84,"5","HomeAbr",87,"1",859,854,928,868,499,455,483,475,227,206,313,300,297,293,324,301,535,553,238,260,155,149,240,221,228,9,178,-28,27,-142,189,-18,-52,-218,-60,-221,-69,-229,246,72,135,-6,144,-10,169,-18,25.7656197200814,24.4120206719534
"3","QBandydalton","CIN","DAL","QB",FALSE,17.627000034,16.85500017,15.89000034,17.82,2,"16502-14225","Andy Dalton","FanDuel","","",15.89000034,7800,"andydalton",0,0.0252181888491427,77,79,79,73,81,79,92,90,79,77,77,86,80,79,76,76,89,77,76,78,77,69,83,82,58.1,86,94,77,70,84,83,90,87,76,76,73,90,95,90,79,74,89,84,83,88,76,75,84,77,81,"5","AwayAbr",86,"1",919,873,986,969,531,505,523,491,241,231,329,338,338,311,325,320,594,553,256,242,161,165,239,224,273,50,200,-18,19,-180,192,-24,-65,-261,-67,-257,-68,-259,251,77,139,-2,154,3,172,-9,23.3372927273623,22.387402232679
"4","QBbenroethlisberger","PIT","NYJ","QB",TRUE,21.277000061,21.425000305,21.24,21.61000061,2,"16502-6589","Ben Roethlisberger","FanDuel","","",21.61000061,8600,"benroethlisberger",0.0708896874774616,-0.227192081221109,77,89,88,70,86,78,82,81,79,73,70,79,91,88,87,79,81,77,75,89,77,75,82,82,78,93,98,82,77,94,81,84,84,84,82,75,81,88,78,69,67,85,81,78,82,76,74,84,74,77,"5","HomeAbr",93,"1",862,908,1015,952,534,494,491,513,257,247,334,315,302,345,316,330,546,578,244,233,158,164,232,241,289,90,203,3,24,-139,195,1,-70,-225,-69,-216,-82,-224,246,83,152,-4,159,12,187,7,23.7595245010943,16.8755899129374
"5","QBbrandonweeden","HOU","MIN","QB",FALSE,1.140333303,5.701666515,0,11.40333303,2,"16502-21959","Brandon Weeden","FanDuel","","",11.40333303,6000,"brandonweeden",0,0.272146948637831,81,82,75,72,90,77,82,79,78,76,74,83,91,89,83,79,88,81,77,83,83,77,94,79,78,78,94,77,73,87,82,81,76,74,73,71,75,99,88,84,71,88,81,79,90,79,78,77,76,81,"5","AwayAbr",70,"3",912,927,941,949,491,497,518,524,244,229,304,315,342,342,322,339,590,588,248,246,153,173,247,243,196,37,149,-21,5,-171,170,-2,-82,-261,-73,-252,-78,-265,215,47,150,-6,160,-4,177,-8,12.5478262959451,11.8637462666019
"6","QBbrianhoyer","CHI","IND","QB",FALSE,17.034666626,15.65333313,13.92666626,17.38,2,"16502-7872","Brian Hoyer","FanDuel","","",13.92666626,6000,"brianhoyer",0,0.00944303932434076,87,89,72,66,79,70,84,80,77,72,72,80,78,78,71,70,81,79,78,91,78,71,74,81,84,79,73,68,65,76,68,82,75,73,70,69,70,77,77,70,69,92,87,81,80,72,69,78,71,79,"5","AwayAbr",74,"2",854,859,868,928,455,499,475,483,206,227,300,313,293,297,301,324,553,535,260,238,149,155,221,240,165,74,128,24,14,-127,144,5,-62,-206,-65,-214,-73,-223,228,92,136,-3,146,0,164,9,17.0175558574387,15.4569320097044
"7","QBbrockosweiler","HOU","MIN","QB",FALSE,13.471999958,13.67999979,13.42,13.93999958,2,"16502-21994","Brock Osweiler","FanDuel","","",13.93999958,7200,"brockosweiler",0,-0.0966383241456708,81,82,75,72,90,77,82,79,78,76,74,83,91,89,83,79,88,81,77,83,83,77,94,79,78,78,94,77,73,87,82,81,76,74,73,71,75,99,88,84,71,88,81,79,90,79,78,77,76,81,"5","AwayAbr",78,"1",912,927,941,949,491,497,518,524,244,229,304,315,342,342,322,339,590,588,248,246,153,173,247,243,196,37,149,-21,5,-171,170,-2,-82,-261,-73,-252,-78,-265,215,47,150,-6,160,-4,177,-8,18.9689933432838,19.7264557134322
"8","QBcarsonwentz","PHI","DET","QB",FALSE,18.49300002,18.1050001,17.6200002,18.59,2,"16502-70324","Carson Wentz","FanDuel","","",17.6200002,7500,"carsonwentz",0,-0.0216354921199223,85,89,86,79,85,82,83,75,75,72,71,77,90,81,74,72,86,82,74,89,74,70,83,75,82,79,80,76,72,83,82,89,85,82,80,79,87,94,93,85,79,84,80,79,78,73,71,84,92,76,"5","AwayAbr",79,"1",921,880,974,959,503,494,525,504,228,254,336,305,351,317,327,321,594,559,243,242,176,158,222,233,274,38,179,-31,25,-181,156,13,-58,-266,-54,-266,-55,-269,278,25,142,8,150,13,169,11,19.5560412430012,21.3642715339215
"9","QBcasekeenum","LA","BUF","QB",TRUE,8.825,10.125,8.5,11.75,2,"16502-22994","Case Keenum","FanDuel","","",11.75,6600,"casekeenum",0.0708896874774616,0.194344211317339,81,88,74,69,74,71,90,81,74,72,71,71,80,71,71,68,85,81,79,83,74,71,80,84,79,77,80,75,63,84,80,72,72,72,69,68,75,98,75,73,69,82,75,60,83,76,75,67.45,83,78,"5","HomeAbr",77,"1",841.45,856,887,916,460,485,488.45,483,218,231,285,317,315,290,309.45,321,532,535,217,245,150.45,164,234,228,191,74.55,137,-3.45,31,-160,163,10.55,-53,-234,-46,-241,-50,-244,223,73,134,-6,149,-2,163,5,24.0374795752486,26.0805597811798
"10","QBcodykessler","CLE","NE","QB",TRUE,6.723000034,8.57500017,6.26,10.89000034,2,"16502-29587","Cody Kessler","FanDuel","","",10.89000034,6400,"codykessler",0.0708896874774616,-0.0147774741819612,94,83,75,69,83,80,84,84,76,75,72,88,88,80,77,73,93,82,77,87,85,71,91,86,85,75,78,78,72,82,79,95,84,75,72,71,83,77,74,70,70,76,76,74,86,77,75,72,65,72,"5","HomeAbr",72,"2",817,919,944,963,497,516,450,525,228,227,326,319,291,318,300,349,517,570,226,252,137,177,238,243,201,146,148,66,15,-114,150,26,-67,-197,-60,-208,-63,-211,255,100,143,-6,163,-2,165,-3,15.6221292346322,15.0860593443605
