"QB.Name","RB1.Name","RB2.Name","WR1.Name","WR2.Name","WR3.Name","TE.Name","K.Name","D.Name","Salary","PredictedPoints"
"Carson Palmer, ARI, , 7300","David Johnson, ARI, , 8700","Ezekiel Elliott, DAL, , 8500","Larry Fitzgerald, ARI, , 7000","Michael Crabtree, OAK, , 7100","Jordy Nelson, GB, , 7500","C.J. Fiedorowicz, HOU, , 4900","Wil Lutz, NO, , 4500","NE, NE, , 4500","60000","157.095306477207"
"Carson Palmer, ARI, , 7300","David Johnson, ARI, , 8700","Isaiah Crowell, CLE, , 5900","Larry Fitzgerald, ARI, , 7000","Julio Jones, ATL, , 9200","Michael Crabtree, OAK, , 7100","C.J. Fiedorowicz, HOU, , 4900","Stephen Gostkowski, NE, , 4900","NE, NE, , 4500","59500","157.049903471756"
"Carson Palmer, ARI, , 7300","David Johnson, ARI, , 8700","Frank Gore, IND, , 6300","Larry Fitzgerald, ARI, , 7000","Julio Jones, ATL, , 9200","Michael Crabtree, OAK, , 7100","C.J. Fiedorowicz, HOU, , 4900","Stephen Gostkowski, NE, , 4900","NE, NE, , 4500","59900","156.836067927937"
"Carson Palmer, ARI, , 7300","David Johnson, ARI, , 8700","Isaiah Crowell, CLE, , 5900","Larry Fitzgerald, ARI, , 7000","Julio Jones, ATL, , 9200","Michael Crabtree, OAK, , 7100","C.J. Fiedorowicz, HOU, , 4900","Stephen Gostkowski, NE, , 4900","ARI, ARI, , 4600","59600","156.771268330899"
"Brock Osweiler, HOU, , 6600","David Johnson, ARI, , 8700","David Johnson, ARI, , 8700","Larry Fitzgerald, ARI, , 7000","Michael Crabtree, OAK, , 7100","DeAndre Hopkins, HOU, , 7600","Jack Doyle, IND, , 4900","Stephen Gostkowski, NE, , 4900","NE, NE, , 4500","60000","156.677377821121"
"Carson Palmer, ARI, , 7300","David Johnson, ARI, , 8700","Isaiah Crowell, CLE, , 5900","Larry Fitzgerald, ARI, , 7000","Julio Jones, ATL, , 9200","Michael Crabtree, OAK, , 7100","Gary Barnidge, CLE, , 5000","Stephen Gostkowski, NE, , 4900","NE, NE, , 4500","59600","156.654454223136"
"Carson Palmer, ARI, , 7300","David Johnson, ARI, , 8700","Matt Forte, NYJ, , 7300","Larry Fitzgerald, ARI, , 7000","Michael Crabtree, OAK, , 7100","Jordy Nelson, GB, , 7500","C.J. Fiedorowicz, HOU, , 4900","Stephen Gostkowski, NE, , 4900","NE, NE, , 4500","59200","156.56590462526"
"Carson Palmer, ARI, , 7300","David Johnson, ARI, , 8700","Frank Gore, IND, , 6300","Larry Fitzgerald, ARI, , 7000","Julio Jones, ATL, , 9200","Michael Crabtree, OAK, , 7100","C.J. Fiedorowicz, HOU, , 4900","Stephen Gostkowski, NE, , 4900","ARI, ARI, , 4600","60000","156.55743278708"
"Matt Ryan, ATL, , 8500","David Johnson, ARI, , 8700","Isaiah Crowell, CLE, , 5900","Julio Jones, ATL, , 9200","Quincy Enunwa, NYJ, , 6100","Larry Fitzgerald, ARI, , 7000","C.J. Fiedorowicz, HOU, , 4900","Stephen Gostkowski, NE, , 4900","NE, NE, , 4500","59700","156.500330224601"
"Carson Palmer, ARI, , 7300","David Johnson, ARI, , 8700","Frank Gore, IND, , 6300","Larry Fitzgerald, ARI, , 7000","Julio Jones, ATL, , 9200","Michael Crabtree, OAK, , 7100","Gary Barnidge, CLE, , 5000","Stephen Gostkowski, NE, , 4900","NE, NE, , 4500","60000","156.440618679317"
